ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
SALTY,Salty Substation,exact,0.99,30.5962787,-97.1326174
SAMSON_ALL,Samson Substation,exact,0.99,33.3658796,-104.4610937
SANDY,Sandy Substation,ercot_reference_exact,1.0,30.597507,-95.7272219
SANDY2,Sandy Substation,ercot_reference_exact,1.0,30.597507,-95.7272219
SANTIAGO_002,Santiago Substation,ercot_reference_exact,1.0,31.1162658,-100.5132428
SANTIAGO_223,Santiago Substation,ercot_reference_exact,1.0,31.1162658,-100.5132428
SEAHM8T,Seaholm Substation,ercot_reference_exact,1.0,30.2668613,-97.7513792
SEAHM8U,Seaholm Substation,ercot_reference_exact,1.0,30.2668613,-97.7513792
SEAHM8V,Seaholm Substation,ercot_reference_exact,1.0,30.2668613,-97.7513792
SEAHM8W,Seaholm Substation,ercot_reference_exact,1.0,30.2668613,-97.7513792
