NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Melvin Substation,,,TX,31.1963386,-99.5840111,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,26.44333333333333,6.760833333333331,19.253156451172707,0.0,0.0,67.54,MARGINAL,MELV_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Hornet Substation,,,TX,30.6870961,-99.8238196,1,69.0,69.0,,industrial,IN SERVICE,OSM,26.44333333333333,6.760833333333331,19.253156451172707,0.0,0.0,67.54,MARGINAL,HORNET_LD01,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Knox Substation,,,TX,33.3889313,-99.8914482,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,10.743333333333334,8.939166666666667,9.813033849596838,0.0,0.0,67.5,MARGINAL,KNOX,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Botines Substation,,,TX,27.6854295,-99.480509,1,138.0,25.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,10.15,9.5325,12.526899057627949,0.0,0.0,67.45,MARGINAL,BOTINES_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Katz Substation,,,TX,33.3972257,-100.0103621,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,10.636666666666667,9.045833333333334,9.980843317742911,0.0,0.0,67.25,MARGINAL,KATZ,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Skidmore Substation,,,TX,28.2552108,-97.6763101,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,24.98,5.297499999999999,26.382791740071784,0.0,0.0,67.25,MARGINAL,SKIDMORE_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
King Substation,,,TX,33.5189029,-100.1574201,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,10.58,9.102500000000001,10.060283296209903,0.0,0.0,67.12,MARGINAL,KING,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Bissett Substation,,,TX,33.3516818,-100.2099813,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,10.553333333333335,9.129166666666666,10.096555518261331,0.0,0.0,67.06,MARGINAL,BISSETT,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Seadrift Substation,,,TX,28.4166938,-96.667762,1,69.0,69.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,24.863333333333333,5.180833333333332,27.66063870074828,0.0,0.0,66.94,MARGINAL,E_SEADRIFT_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
La Palma 69 Kv Substation,,,TX,26.1422382,-97.6419133,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,9.866666666666667,9.815833333333334,14.085813193895953,0.0,0.0,66.33,MARGINAL,"LA_PALMA_V_A, LA_PALMA_V_B, LA_PALMA_V_C, LA_PALMA_V_D",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Amoco Substation,,,TX,31.6495484,-100.8653448,1,138.0,69.0,Amoco; Texas-New Mexico Power,industrial,IN SERVICE,OSM,9.353333333333333,10.329166666666667,12.019543807205553,0.0,0.0,66.26,MARGINAL,AMOCO_9X,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Crowell Substation,,,TX,33.9822943,-99.7227764,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,10.03,9.652500000000002,9.80104892345712,0.0,0.0,66.26,MARGINAL,"CRWL_L_A, CRWL_V_A",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Henry Substation,,,TX,34.430514,-100.2274439,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,9.93,9.752500000000001,9.944715179430732,0.0,0.0,66.03,MARGINAL,"EB0021, EB_1006",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Spur Substation,,,TX,33.4737594,-100.857231,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,8.868666666666666,10.813833333333335,10.650509372093781,0.0,0.0,65.96,MARGINAL,"SPUR_ASP, SPUR_ESP, SPUR_GIR, SPUR_L_A, SPUR_L_B, SPUR_MCA, SPUR_SCK, SPUR_SMS, SPUR_V_A, SPUR_V_B",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
San Benito Substation,,,TX,26.1438025,-97.6430012,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,10.72,8.9625,14.111138862614883,0.0,0.0,65.74,MARGINAL,"S_BENITO_L_A, S_BENITO_L_B",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Paducah City Substation,,,TX,34.0146962,-100.2993742,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,10.003333333333332,9.679166666666669,10.994554712826405,0.0,0.0,65.73,MARGINAL,PADUCAH,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Matador Substation,,,TX,34.0112867,-100.8318732,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,9.57,10.1125,10.121310438871046,0.0,0.0,65.32,MARGINAL,"BOO1, S3K2, S3K8",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Kirkland Substation,,,TX,34.377595,-100.0664328,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,9.806666666666667,9.875833333333334,11.317143338021895,0.0,0.0,65.26,MARGINAL,KIRKLAND_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Marconi Substation,,,TX,26.0921204,-97.3971221,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,9.299999999999999,10.382500000000002,15.113747384417934,0.0,0.0,64.93,MARGINAL,"LN_LAURELES, LN_P_ISABEL",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Laureles Substation,,,TX,26.1225981,-97.5472631,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,9.176666666666668,10.505833333333333,14.73446300344875,0.0,0.0,64.86,MARGINAL,"LAURELES_L_A, LAUR_9999_EB, LAUR_L720_EB",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Zephyr Substation,,,TX,31.7094614,-98.8616336,1,138.0,138.0,Brazos Electric,distribution,IN SERVICE,OSM,28.546666666666667,8.864166666666666,22.466377841862567,0.0,0.0,64.64,MARGINAL,ZEPHYR,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Dermott Wind Substation,,,TX,32.8638347,-101.0096822,1,345.0,34.5,Lincoln Clean Energy,transmission,IN SERVICE,OSM,5.436666666666666,14.245833333333335,15.596407580329666,0.0,0.0,64.18,MARGINAL,"DERMOTT_LD1, DERMOTT_LD2, DERMOTT_LN, DERMOTT_W1, DERMOTT_W2, DM07",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Mhos Substation,,,TX,32.9066717,-101.0077689,1,345.0,345.0,Wind Energy Transmission of Texas,switching,IN SERVICE,OSM,5.453333333333333,14.229166666666668,16.058384103016092,0.0,0.0,64.03,MARGINAL,"JADE_TIE, MHOS_BUS1, MHOS_BUS2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Afton Substation,,,TX,33.7338394,-100.8418655,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,9.25,10.432500000000001,12.200528677069695,0.0,0.0,63.93,MARGINAL,AFTON_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Mozart Substation,,,TX,32.9942365,-100.5316381,1,69.0,34.5,BayWa,transmission,IN SERVICE,OSM,8.930000000000001,10.7525,10.836426784440777,0.0,0.0,63.92,MARGINAL,"0100_LD1, EB_MOZART_02, EB_WIND_1, MOZ_WOFG",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Espuela Substation,,,TX,33.5438904,-100.8970717,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,9.036666666666667,10.645833333333334,12.548682533769563,0.0,0.0,63.42,MARGINAL,ESPUELA,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Comanche,,,TX,34.5436294,-98.3224236,1,138.0,138.0,Public Service Company of Oklahoma,transmission,IN SERVICE,OSM,29.126666666666665,9.444166666666664,23.411412459168996,0.0,0.0,63.25,MARGINAL,COMANCHE_8,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Girard Substation,,,TX,33.359759,-100.664802,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,8.936666666666666,10.745833333333335,12.71229457388922,0.0,0.0,63.18,MARGINAL,GIRARD_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Kalgary Substation,,,TX,33.4091035,-101.1137575,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,8.936666666666666,10.745833333333335,12.71229457388922,0.0,0.0,63.18,MARGINAL,KALGARY,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Sms Substation,,,TX,33.2896675,-100.9477811,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,8.936666666666666,10.745833333333335,12.71229457388922,0.0,0.0,63.18,MARGINAL,SMS,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Jayton Substation,,,TX,33.2709129,-100.6264069,1,69.0,69.0,Brazos Electric; American Electric Power,distribution,IN SERVICE,OSM,8.930000000000001,10.7525,12.706836742478439,0.0,0.0,63.17,MARGINAL,JAYTON,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Moore County Substation,,,TX,35.9667759,-101.8630795,1,230.0,115.0,Xcel Energy,transmission,IN SERVICE,OSM,28.028333333333332,8.345833333333331,35.50226889463076,0.0,0.0,63.09,MARGINAL,"MOORE_L_A, MOORE_V_A",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Beeville Substation,,,TX,28.4249497,-97.7978679,1,69.0,69.0,South Texas Electric Cooperative; American Electric Power,distribution,IN SERVICE,OSM,28.029999999999998,8.347499999999997,25.80788832895865,0.0,0.0,62.14,MARGINAL,"BEEVILLE_L_A, BEEVILLE_L_B, BEEVILLE_V_A",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Tuleta Substation,,,TX,28.5982273,-97.7885435,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,29.370000000000005,9.687500000000004,26.72306447621605,0.0,0.0,61.5,MARGINAL,"LN_KENEDSW, TULETA_BS2, TULETA_LD2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Grayback Substation,,,TX,33.9940449,-99.1674591,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,8.103333333333333,11.579166666666667,14.151863245994617,0.0,0.0,61.15,MARGINAL,GRAYBAC_LD,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Harrold Substation,,,TX,34.042709,-99.0937444,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,8.103333333333333,11.579166666666667,14.151863245994617,0.0,0.0,61.15,MARGINAL,HARROLD_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Port Substation,,,TX,29.7531369,-95.1846261,1,138.0,138.0,,industrial,IN SERVICE,OSM,28.084166666666665,8.401666666666664,33.3766919345335,0.0,0.0,61.09,MARGINAL,"PORT_A_BUS1, PORT_A_BUS2, PORT_A_L_A, PORT_A_L_B, PORT_EB1, PORT_LD1, PORT_UN1, SEKV",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,unknown
Lockett Substation,,,TX,34.0510911,-99.3753229,1,69.0,69.0,Western Farmers Electric Cooperative,distribution,IN SERVICE,OSM,7.633333333333334,12.049166666666668,12.937979942788596,0.0,0.0,60.81,MARGINAL,"LKT1, LOCKETT1, W1",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Alamo Cement Substation,,,TX,29.611783,-98.3744229,1,138.0,138.0,CPS Energy,industrial,IN SERVICE,OSM,31.39333333333333,11.71083333333333,20.69526000480947,0.0,0.0,60.37,MARGINAL,"N_ALAMO_L_A, N_ALAMO_L_B",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Baffin Substation,,,TX,27.1840025,-97.5969359,1,345.0,34.5,Iberdrola,transmission,IN SERVICE,OSM,-4.84,24.5225,0.31500000000000017,0.0,0.0,60.22,MARGINAL,"BAFFIN_0012, BAFFIN_UNIT1, BAFFIN_UNIT2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Coyote Substation,,,TX,31.8134055,-106.178402,1,115.0,115.0,,,IN SERVICE,OSM,6.596666666666667,13.085833333333333,14.195809039491698,0.0,0.0,59.87,MARGINAL,"CTE5TR1, CTEMOBILE, CY01, CY02, CYU1, CYU2, CYU3, EBC2, EBC3, EB_L4V, ELD1, ELD2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Sutton Substation,,,TX,30.8152846,-96.5277378,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,27.956666666666667,8.274166666666666,32.171890292614144,0.0,0.0,59.72,MARGINAL,"SUTTON, SUTTON_LD01, SUTTON_T2",0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Tynan Substation,,,TX,28.1831975,-97.7722993,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,29.043333333333333,9.360833333333332,29.009527170684233,0.0,0.0,59.08,MARGINAL,"BEEV_EB, HNY_CMB_SLR1, MATH_EB, MOBC_EB, TYNAN_BESS1",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Mathis Substation,,,TX,28.1121733,-97.8239071,1,69.0,69.0,American Electric Power; South Texas Electric Cooperative,distribution,IN SERVICE,OSM,29.043333333333333,9.360833333333332,30.70079781808067,0.0,0.0,58.41,MARGINAL,"MATHIS_LD01, MATHIS_LD02",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Ganado Substation,,,TX,29.0131711,-96.5027179,1,138.0,69.0,American Electric Power; South Texas Electric Cooperative; Enel Green Power,distribution,IN SERVICE,OSM,29.853333333333335,10.170833333333334,32.691285281146925,0.0,0.0,58.26,MARGINAL,GANADO_L_A,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
#9,,,TX,34.1423094,-103.1438579,1,,,,,IN SERVICE,OSM,7.636666666666667,12.045833333333334,14.859052235365933,0.0,0.0,57.98,MARGINAL,9_EBUS,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Fluvanna Substation,,,TX,32.859328,-101.1151431,1,69.0,69.0,Golden Spread Electric Cooperative,distribution,IN SERVICE,OSM,6.073333333333333,13.609166666666667,14.694648085372481,0.0,0.0,57.38,MARGINAL,"EB_TLINE, EB_UN1, FLUEB, UN1, UN2, UN2_EB",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Pettus Substation,,,TX,28.6207008,-97.7953959,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,30.28,10.5975,28.462802391893884,0.0,0.0,57.14,MARGINAL,"PETTUS_L_A, PETTUS_L_B",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Railhead Substation,,,TX,35.4022323,-101.1538371,1,345.0,345.0,LS Power,transmission,IN SERVICE,OSM,-0.4166666666666667,20.09916666666667,10.306149263603656,0.0,0.0,56.23,MARGINAL,"EB_RAILHD_N, EB_RAILHD_S, RH_0003, RH_0006, RH_0009, RH_0012, RH_0017, RH_0018, RH_0024, RH_LN",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Tesla Substation,,,TX,34.3733936,-100.0868415,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM,-0.44333333333333336,20.125833333333333,10.46926369679077,0.0,0.0,56.16,MARGINAL,"EDITHCLA1_LN, EDITHCLA2_LN, TESLA_BUS_1A, TESLA_BUS_1B, TESLA_BUS_2A, TESLA_BUS_2B",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Frye Substation,,,TX,34.4056743,-101.5766119,1,345.0,345.0,,switching,IN SERVICE,OSM,-0.4066666666666669,20.089166666666667,10.475690680718634,0.0,0.0,56.16,MARGINAL,"FRYE_LD1, FRYE_LD2, FRYE_SLR_EB1, FRYE_UN1, FRYE_UN2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Gauss Substation,,,TX,33.4789378,-99.6615509,1,345.0,345.0,American Electric Power,compensation,IN SERVICE,OSM,1.8511111111111112,17.83138888888889,21.540846921862453,0.0,0.0,55.53,MARGINAL,"B143, CLCR1_KV, EDTH2_KV",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Route 66 Wind Substation,,,TX,35.205911,-101.4349646,1,345.0,345.0,,transmission,IN SERVICE,OSM,-0.4066666666666669,20.089166666666667,12.395004370040914,0.0,0.0,55.39,MARGINAL,LEB,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Harris Substation,,,TX,30.2882635,-97.7325507,1,69.0,69.0,University of Texas at Austin,distribution,IN SERVICE,OSM,31.247647058823528,11.565147058823527,32.47245439373103,0.0,0.0,53.84,MARGINAL,"E_HARRIS_B1, E_HARRIS_L_B, E_HARRIS_L_C, E_HARRIS_V_A, E_HAR_BESS1, HARRIS, HARRISV, HARRISW, HARRISX, HARRISY, HARRISZ, HARRIS_K, HARRIS_KF, HARRIS_KK, HARRIS_KP, HARRIS_KS, HARRIS_KY",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Evant Substation,,,TX,31.433615,-98.1731642,1,138.0,138.0,Lower Colorado River Authority,distribution,IN SERVICE,OSM,33.98,14.297499999999996,27.058446001202654,0.0,0.0,53.3,MARGINAL,"EVANTTEMP, L_EVANT_8_1Y, L_EVANT_8_2Y, T12, TAD",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Arrowhead Substation,,,TX,35.105527,-101.8134737,1,115.0,13.2,,distribution,IN SERVICE,OSM,4.0200000000000005,15.662500000000001,21.024702138199245,0.0,0.0,52.63,MARGINAL,ARROWHEAD,0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Puncher Substation,,,TX,30.5622978,-99.261792,1,69.0,69.0,,industrial,IN SERVICE,OSM,32.81,13.127500000000001,30.307149321570975,0.0,0.0,51.97,MARGINAL,PUNCHER_LD1,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Nimrod Substation,,,TX,32.2717751,-99.0106737,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,33.52333333333333,13.840833333333332,27.70186612245945,0.0,0.0,51.77,MARGINAL,"NIMROD1, NIMROD2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Sigmor Substation,,,TX,28.4553414,-98.1868027,1,138.0,138.0,American Electric Power,industrial,IN SERVICE,OSM,33.86,14.177499999999998,32.23465049729758,0.0,0.0,51.44,MARGINAL,"SIGMOR_BB6, SIGMOR_BB8, SIGMOR_LD06, SIGMOR_LD07, SIGMOR_L_A, SIGMOR_L_B, SIGMOR_L_C, SIGMOR_L_D, SIGMOR_L_E, SIGMOR_V_A, SIGMOR_V_B, SIGMOR_V_C, SIGMOR_V_D, SIGMOR_V_E",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Kenedy Substation,,,TX,28.8799309,-97.8324062,1,69.0,69.0,South Texas Electric Cooperative; American Electric Power,distribution,IN SERVICE,OSM,33.02666666666667,13.34416666666667,31.40998100392082,0.0,0.0,51.15,MARGINAL,"KENEDY_BE01, KENEDY_L_A",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,station_limit
Lometa Substation,,,TX,31.215333,-98.3907995,1,138.0,138.0,Lower Colorado River Authority,distribution,IN SERVICE,OSM,34.61333333333334,14.930833333333336,29.709987995060963,0.0,0.0,51.13,MARGINAL,"LT1, L_LOMETA8_1Y",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Seminole,,,TX,32.7828601,-102.6756116,1,230.0,115.0,,transmission,IN SERVICE,OSM,96.47999999999999,76.79749999999999,14.612346109490062,0.0,0.0,51.06,MARGINAL,"SEMI_EB34, SEMI_EB36, TNSEMINOLE1W, TNSEMINOLE1X, TNSEMINOLE1Y, TNSEMINOLE1Z",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
South Substation,,,TX,33.0062875,-97.0108813,1,138.0,13.0,Bryan Texas Utilities,distribution,IN SERVICE,OSM,32.26166666666666,12.579166666666662,41.09729062440329,0.0,0.0,50.69,MARGINAL,"BRYN_SOUTHZ, SOUTH",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,50-150,HIGH,voltage
Helena Substation,,,TX,28.9379598,-97.7999956,1,138.0,138.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,34.736666666666665,15.054166666666664,32.10551627057257,0.0,0.0,49.95,MARGINAL,"HELENA_1, T5K, T6K",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Fowlerton Substation,,,TX,28.3714601,-98.800778,1,345.0,138.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,36.32,16.6375,42.06866886413213,0.0,0.0,49.41,MARGINAL,FOWLERTON_1,1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Marion Substation,,,TX,29.6208306,-98.1487571,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM,38.64351851851852,18.961018518518518,33.69019991637496,0.0,0.0,48.69,MARGINAL,"L_MARION5_1Y, L_MARION5_1Z, L_MARION8_1Y, L_MARION8_1Z, MARIONT1, MARION_1, MARION_2, MARION_3810, MARION_3811, MARION_3818, MARION_4536, MARION_4537, MARION_4538, MARION_4543, MARION_4544, MARION_4545, T705, TE6",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Milton Substation,,,TX,29.0564466,-97.787647,1,138.0,138.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,35.36333333333334,15.680833333333336,32.65768515985173,0.0,0.0,48.64,MARGINAL,"LD_1, MILTON_LN1, MILTON_LN2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Runge Substation,,,TX,28.8706549,-97.7015437,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,35.16,15.477499999999996,33.802067392394804,0.0,0.0,48.53,MARGINAL,"RUNGE_LD01, RUNGE_LD02",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Tilden Substation,,,TX,28.4593869,-98.5185235,1,138.0,138.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,34.73,15.047499999999996,35.88365979105253,0.0,0.0,48.45,MARGINAL,"TILD_T1, TILD_T2",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Naruna Substation,,,TX,31.0476489,-98.1908146,1,138.0,138.0,Lower Colorado River Authority,distribution,IN SERVICE,OSM,35.75,16.0675,31.488079014128502,0.0,0.0,48.43,MARGINAL,"L_NARUNA8_2Y, NARUNA_L_A",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Alvin Substation,,,TX,29.4333127,-95.2494409,1,138.0,12.5,Texas-New Mexico Power,distribution,IN SERVICE,OSM,96.20625,76.52374999999999,14.32249928044327,0.0,0.0,48.41,MARGINAL,"ALVIN, ALVIN_6490, AVLIN_6487, EB_2552, EB_5126, EB_TCN1, EB_TCN2, TNALVIN___1N, TNALVIN___1P, TNALVIN___1Q, TNALVIN___1R, TNALVIN___1S, TNALVIN___1T, TNALVIN___1U, TNALVIN___1V, TORT_ESS_TL",0.99,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Apache Substation,,,TX,29.3787017,-94.9475574,1,138.0,138.0,Texas-New Mexico Power,industrial,IN SERVICE,OSM,96.73666666666666,77.05416666666666,14.54327834181607,0.0,0.0,48.32,MARGINAL,"APACHE_6388, APACHE_6389, AUTO_EPS_465, AUTO_EPS_466, TNAPACHE__1, TNAPACHE__1X, TNAPACHE__1Y, TNAPACHE__1Z",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Terminal Substation,,,TX,29.3705796,-94.9112886,1,138.0,69.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,96.73666666666666,77.05416666666666,14.588655295582697,0.0,0.0,48.3,MARGINAL,"TNTERMINAL0, TNTERMINAL0Q, TNTERMINAL0T, TNTERMINAL0U, TNTERMINAL0V, TNTERMINAL0Y, TNTERMINAL0Z",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Tejas Substation,,,TX,29.3801432,-94.9229792,1,138.0,138.0,Texas-New Mexico Power,industrial,IN SERVICE,OSM,96.73666666666666,77.05416666666666,14.64982392987952,0.0,0.0,48.28,MARGINAL,"TEJAS_KM, TNTEJAS___1V, TNTEJAS___1W, TNTEJAS___1X, TNTEJAS___1Y, TNTEJAS___1Z",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
Hastings Substation,,,TX,35.2503002,-101.8499428,1,138.0,12.5,Xcel Energy; Texas-New Mexico Power,distribution,IN SERVICE,OSM,96.19333333333333,76.51083333333332,14.798310304855342,0.0,0.0,48.22,MARGINAL,"TNHASTINGS1, TNHASTINGS1V, TNHASTINGS1W, TNHASTINGS1X",1.0,local_zip,2026-04-16T02:57:59.364804+00:00,0,0,low,0-50,HIGH,voltage
